,clock_period,dsp_coeff,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,source_lines,num_for_loops,num_while_loops,num_total_loops,max_loop_depth,num_if_statements,num_array_accesses,num_add_ops,num_sub_ops,num_mul_ops,num_div_ops,num_arithmetic_ops,num_assignments,num_function_calls,num_var_decls,yosys_num_wires,yosys_num_wire_bits,yosys_num_pub_wires,yosys_num_pub_wire_bits,yosys_num_memories,yosys_num_memory_bits,yosys_num_processes,yosys_num_cells,yosys_total_modules,yosys_total_wires,yosys_total_wire_bits,yosys_total_pub_wires,yosys_total_pub_wire_bits,yosys_total_memories,yosys_total_memory_bits,yosys_total_processes,yosys_total_cells,openroad_clock_constraint,openroad_tns,openroad_wns,openroad_worst_slack,openroad_clock_period_min,openroad_fmax,openroad_critical_path_delay,openroad_critical_path_slack,openroad_setup_violation_count,openroad_hold_violation_count,openroad_max_slew_violation_count,openroad_max_cap_violation_count,openroad_total_power,openroad_synth_chip_area
mux_area,-0.012010000905783733,0.0010800611056267155,0.8584447598311712,-0.25762543518973946,-0.1405752956418657,0.8863752585967392,0.6114655953882168,0.3528132394741716,0.8568148571439417,0.6625165429414406,1.0,0.7035069938126387,0.7950675211148774,,0.20904300295485487,0.11557322509232364,,0.11557322509232364,0.1466567653824492,-0.1512283459962723,-0.13147723736745262,-0.3168129301606341,-0.5045133996296555,-0.16570779648905368,0.5409007452781919,-0.27738895291088,-0.16551174993698278,0.16815819086865227,0.19647640897996987,0.936382359682378,0.9315049467021597,0.936382359682378,0.9315049467021597,,,,,0.8526664385179012,0.9297478898665147,0.787742572321001,0.9421048651635033,0.960601500017778,,,,0.8858393056078756,0.19277186862377396,,,0.18135035982886905,0.012452152526118728,-0.10503221627374155,0.049411669228714476,0.18202126200260435,,,,0.0655463855454178,-0.16704211710986588,0.20032792197281435
total_area,-0.0017680102129995626,-0.0002486275633275581,0.6874305576816326,-0.3610226270396054,-0.26419443002379006,0.691011058510562,0.7037368085427793,0.4499154965484987,0.6922935430334963,0.9984241870740793,0.7035069938126387,1.0,0.6339182340569607,,0.23883746588959215,0.3871390064740597,,0.3871390064740597,0.007787993403044352,-0.5151934322628109,-0.25597581906660427,-0.41188345279629585,-0.5375515080022081,-0.03888239355586768,0.46725182212958744,-0.2642926416994124,-0.07117421739086294,0.12393180427670657,0.6293750768627648,0.7095581101567139,0.44006236875254695,0.7095581101567139,0.44006236875254695,,,,,0.7985930903311397,0.7709996966794868,0.5502227412265464,0.7858114642977737,0.7403536068204535,,,,0.7699493811794473,-0.12995364238384213,,,-0.4845476240324453,0.5208811256682537,-0.5894671972059936,0.6008295143327317,-0.48435902950751014,,,,-0.023159326548724428,0.16450211569771783,0.8398820679499942
registers,-0.02287662449675443,0.0007812841762234979,0.7009924749392944,-0.20874632956418643,-0.06383716537757268,0.7247554765337791,0.8527408625672931,0.5729376499848207,0.9737480599642866,0.6053536097582014,0.7950675211148774,0.6339182340569607,1.0,,0.22415278740725905,0.44944649483493093,,0.44944649483493093,0.18579457887515816,0.04251488126571828,0.21583863744969586,-0.04689453037953248,-0.21520582956534148,-0.044691337102015255,0.27032676354454116,-0.06678305061019167,0.0642864264126457,0.16195597811927093,0.4794596041374083,0.914030965639791,0.8234358937931288,0.914030965639791,0.8234358937931288,,,,,0.9142403165450704,0.957789447071644,0.79194472256594,0.9549589523462223,0.9761542501343792,,,,0.9340016264757668,0.027010248759662257,,,-0.017479254203451478,0.0644016306564282,-0.10270259088152268,0.10415623907679525,-0.01702396228320358,,,,0.05003404879593007,-0.07145756551965145,0.2927540662753097
dsps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source_lines,-3.286896314123854e-05,-3.286896313885947e-05,0.2500777893674972,-0.34408676657865556,-0.04190498894519412,0.2502885770971144,0.4127478933214207,0.26820781449965686,0.2222796334719634,0.23522215524707796,0.20904300295485487,0.23883746588959215,0.22415278740725905,,1.0,0.6807761380260043,,0.6807761380260043,0.3430982592783391,-0.170573952731971,0.5570665897284128,0.04514610560728456,-0.012998407938234941,0.7421262540222334,0.6490494383052213,0.5255926849149885,0.7934916796646925,0.9406984531630385,0.3667882411511103,0.5202788749547351,0.7920272834543274,0.5202788749547351,0.7920272834543274,,,,,0.3118166274381804,0.45006020831288823,0.489608190557662,0.4476963578368699,0.5078476618940281,,,,0.39124528499449585,-0.03888605151379538,,,-0.06857561624246536,0.044227547637953585,-0.06670002393613475,0.08077318724691661,-0.0682723900260186,,,,-0.40379734249303334,0.07923313853841024,0.6368331421488984
num_for_loops,-0.000695639478411645,-0.000695639478409189,0.19807708240767707,-0.16757247058344055,-0.009413331210408781,0.19690942076464002,0.7282563348941767,0.46724586580513416,0.3861758786919365,0.39890871718394016,0.11557322509232364,0.3871390064740597,0.44944649483493093,,0.6807761380260043,1.0,,1.0,0.21554813520785504,-0.213064615784367,0.5357311597229644,0.11415381644457254,0.08006152174286527,0.6625120681323363,0.21483552634325453,0.4644158335618456,0.7575722707664667,0.5144216171021123,0.8263533271025834,-0.5202788749547351,-0.7920272834543269,-0.5202788749547351,-0.7920272834543269,,,,,-0.3118166274381802,-0.45006020831288807,-0.4896081905576621,-0.44769635783687,-0.5078476618940281,,,,-0.3912452849944958,-0.17338967422871107,,,-0.3073417242796875,0.19949874734757936,-0.1922430826124998,0.2420601388672343,-0.3071714876785267,,,,-0.15164629056529935,0.15424180976774374,0.7100739931985567
num_while_loops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_total_loops,-0.000695639478411645,-0.000695639478409189,0.19807708240767707,-0.16757247058344055,-0.009413331210408781,0.19690942076464002,0.7282563348941767,0.46724586580513416,0.3861758786919365,0.39890871718394016,0.11557322509232364,0.3871390064740597,0.44944649483493093,,0.6807761380260043,1.0,,1.0,0.21554813520785504,-0.213064615784367,0.5357311597229644,0.11415381644457254,0.08006152174286527,0.6625120681323363,0.21483552634325453,0.4644158335618456,0.7575722707664667,0.5144216171021123,0.8263533271025834,-0.5202788749547351,-0.7920272834543269,-0.5202788749547351,-0.7920272834543269,,,,,-0.3118166274381802,-0.45006020831288807,-0.4896081905576621,-0.44769635783687,-0.5078476618940281,,,,-0.3912452849944958,-0.17338967422871107,,,-0.3073417242796875,0.19949874734757936,-0.1922430826124998,0.2420601388672343,-0.3071714876785267,,,,-0.15164629056529935,0.15424180976774374,0.7100739931985567
max_loop_depth,-0.00028021654444993193,-0.0002802165444504478,-0.0035943350889583105,-0.0007478563990355455,-0.06854181806936682,0.011619917862712683,0.15604415589679052,0.06985099980496545,0.18763968274525547,-0.003371935252626645,0.1466567653824492,0.007787993403044352,0.18579457887515816,,0.3430982592783391,0.21554813520785504,,0.21554813520785504,1.0,0.4815712161096193,0.35370819524134506,-0.10697525563391616,-0.06235925693483864,0.11805188042744426,0.09973969798662537,0.023371700359843636,0.21973022891674251,0.3105493527861606,0.13878439350775015,,,,,,,,,,,,,,,,,,-0.05882352941176456,,,0.03353233857104681,-0.13363104505437298,0.11901916433120145,-0.15902056881040708,0.03355565769814655,,,,0.08084520834544429,0.09003726927837945,0.1894403749528663
num_if_statements,0.00047244934563932175,0.0004724493456387205,-0.2894766008121796,0.07536413366796833,0.14587698751303627,-0.2680045015714031,-0.1736395510160238,-0.07241923549708465,-0.04039032662114671,-0.5310594062582645,-0.1512283459962723,-0.5151934322628109,0.04251488126571828,,-0.170573952731971,-0.213064615784367,,-0.213064615784367,0.4815712161096193,1.0,0.3004711631515809,0.09510887293947172,0.11797673003689613,-0.38116739888631057,-0.32077046423971833,-0.18991568381402085,-0.17625319540613724,-0.050924821624583665,-0.27688016221419565,,,,,,,,,,,,,,,,,,0.09918357753074265,,,0.32310072591084027,-0.3292992876519449,0.3891691380695773,-0.407328123437149,0.3229464988101251,,,,-0.1363147888286301,-0.148365404374462,-0.4372603757135577
