evaluation,target,reduction,model,rows,features_before,test_rows,mae,rmse,r2,folds,mae_std,rmse_std,r2_std
kfold,openroad_synth_chip_area,pca_10,gaussian_process,18,66,,10605.50687072557,13367.534992852054,-0.557143533460801,5.0,7034.4755958297455,9201.41889566943,0.8217573213535307
random_split,openroad_critical_path_delay,all_features,ridge,18,66,5.0,0.8813429084707636,1.0801739133777748,0.1853036585426885,,,,
kfold,openroad_critical_path_delay,all_features,ridge,18,66,,2.617015491709764,3.125425803869201,-128.13820523879463,5.0,2.4576898027072303,2.8894764848628456,168.28065888273073
random_split,openroad_critical_path_delay,all_features,random_forest,18,66,5.0,1.0139951999206338,1.10996836376965,0.13974026068383938,,,,
kfold,openroad_critical_path_delay,all_features,random_forest,18,66,,1.393426208303571,1.4629766745843182,-81.37046789438938,5.0,0.5405145916340497,0.5153451582997561,168.80297027458047
random_split,openroad_critical_path_delay,all_features,gradient_boosting,18,66,5.0,0.4783616281216904,0.5563619556510917,0.7838659225266698,,,,
kfold,openroad_critical_path_delay,all_features,gradient_boosting,18,66,,1.0350772058159847,1.1592697644731558,-80.91620800425565,5.0,0.8692615884724628,0.8814597019352731,166.6823934235804
random_split,openroad_critical_path_delay,all_features,gaussian_process,18,66,5.0,1.154869522628122,1.1966833868261257,7.616556696787846e-05,,,,
kfold,openroad_critical_path_delay,all_features,gaussian_process,18,66,,1.4170200368413386,1.445006539831628,-45.37091611652467,5.0,0.4964545945209302,0.5041181218795322,87.10502711417624
random_split,openroad_critical_path_delay,select_k_5,ridge,18,66,5.0,0.935088454053224,1.2179324628225967,-0.035749683627515294,,,,
kfold,openroad_critical_path_delay,select_k_5,ridge,18,66,,3.8330253451210163,4.783242108264207,-237.17447645441976,5.0,4.381456604140518,5.241654294979002,384.7290895299244
random_split,openroad_critical_path_delay,select_k_5,random_forest,18,66,5.0,0.8227250297619044,0.9498721503640762,0.3700026742893009,,,,
kfold,openroad_critical_path_delay,select_k_5,random_forest,18,66,,1.3345111918116601,1.4320823082532708,-94.10030970963162,5.0,0.7585758887444691,0.745321716562737,194.61811721746494
random_split,openroad_critical_path_delay,select_k_5,gradient_boosting,18,66,5.0,1.2030528541192202,1.658648817777967,-0.9209554086722112,,,,
kfold,openroad_critical_path_delay,select_k_5,gradient_boosting,18,66,,1.4506462980868837,1.7364572205617095,-83.99746682665395,5.0,0.8986123186395778,0.8445659336799786,164.2711748392305
random_split,openroad_critical_path_delay,select_k_5,gaussian_process,18,66,5.0,6.928073822264468,10.562249299763756,-76.89708827444576,,,,
kfold,openroad_critical_path_delay,select_k_5,gaussian_process,18,66,,2.863106253510787,3.629433125267986,-59.33880342532524,5.0,3.2379178374833972,4.531224010828621,76.49921687490612
random_split,openroad_critical_path_delay,select_k_10,ridge,18,66,5.0,0.8634457167631326,1.0466067964929382,0.2351513614729248,,,,
kfold,openroad_critical_path_delay,select_k_10,ridge,18,66,,3.0674031111068425,3.753683465133398,-168.78684445951475,5.0,2.9669567403226504,3.480045922611126,221.76802057786261
random_split,openroad_critical_path_delay,select_k_10,random_forest,18,66,5.0,0.8578027715476191,0.9647155238289175,0.3501592659270718,,,,
kfold,openroad_critical_path_delay,select_k_10,random_forest,18,66,,1.3409773024137195,1.4340062131357685,-83.63898211985007,5.0,0.6144461360972874,0.5934324416283214,173.45810651857786
random_split,openroad_critical_path_delay,select_k_10,gradient_boosting,18,66,5.0,1.2656219818827084,1.7436378780726793,-1.1228582036216035,,,,
kfold,openroad_critical_path_delay,select_k_10,gradient_boosting,18,66,,1.323302959591457,1.554841798076741,-82.76558299573783,5.0,1.003521556334847,0.9662622120400812,162.49193871518162
random_split,openroad_critical_path_delay,select_k_10,gaussian_process,18,66,5.0,1.0484682854921417,1.0956128144985569,0.16184835240694884,,,,
kfold,openroad_critical_path_delay,select_k_10,gaussian_process,18,66,,1.2300312278244907,1.451580449298341,-34.430551769898415,5.0,0.717209719245543,0.6106985004041106,61.23957674490788
random_split,openroad_critical_path_delay,select_k_15,ridge,18,66,5.0,0.9558905832455462,1.220335368938665,-0.039840656583109535,,,,
kfold,openroad_critical_path_delay,select_k_15,ridge,18,66,,3.455244407729426,4.414858599689243,-201.96922478267388,5.0,3.0774249952338733,3.884524976999326,250.49174130152477
random_split,openroad_critical_path_delay,select_k_15,random_forest,18,66,5.0,0.8781607144047612,1.0040293405415623,0.29611581866956194,,,,
kfold,openroad_critical_path_delay,select_k_15,random_forest,18,66,,1.303974577910053,1.3788962312791226,-77.99390731739535,5.0,0.4216686233186449,0.42432253049693586,165.29951373547703
random_split,openroad_critical_path_delay,select_k_15,gradient_boosting,18,66,5.0,0.8435261631494256,0.9982591432982791,0.30418307218789364,,,,
kfold,openroad_critical_path_delay,select_k_15,gradient_boosting,18,66,,1.0498774116889684,1.2938941205087748,-70.79953650847257,5.0,0.4822007818426723,0.5478307665677021,152.67060098684865
random_split,openroad_critical_path_delay,select_k_15,gaussian_process,18,66,5.0,1.1081081427263197,1.2888429264815036,-0.15986750505053715,,,,
kfold,openroad_critical_path_delay,select_k_15,gaussian_process,18,66,,1.1655312219852232,1.244429511225491,-23.01559525462062,5.0,0.7688023302726167,0.7419801056356442,38.293431098991505
random_split,openroad_critical_path_delay,pca_3,ridge,18,66,5.0,0.8771949222342782,1.145871773431918,0.08318768225327688,,,,
kfold,openroad_critical_path_delay,pca_3,ridge,18,66,,1.6839578106211204,1.7696159842316863,-90.98311291203102,5.0,0.6739525213935208,0.6031988915487645,182.08316384677047
random_split,openroad_critical_path_delay,pca_3,random_forest,18,66,5.0,1.136537491111111,1.3268653177900267,-0.22931188825987103,,,,
kfold,openroad_critical_path_delay,pca_3,random_forest,18,66,,1.3148008883928568,1.3891394858610817,-67.48670622509164,5.0,0.5746851806319423,0.5552758572149715,138.7439283801604
random_split,openroad_critical_path_delay,pca_3,gradient_boosting,18,66,5.0,0.8073851310339428,1.2111651370139458,-0.024271571912837242,,,,
kfold,openroad_critical_path_delay,pca_3,gradient_boosting,18,66,,1.269919995995123,1.5023009476514768,-88.11773590829883,5.0,0.7045056127032836,0.6954566237629435,180.60839439278794
random_split,openroad_critical_path_delay,pca_3,gaussian_process,18,66,5.0,0.9457697674286492,1.1359900053080063,0.0989323097308289,,,,
kfold,openroad_critical_path_delay,pca_3,gaussian_process,18,66,,1.177161420951678,1.2746325945775354,-25.36452854087597,5.0,0.6750742358620327,0.639980249912282,43.48374433966382
random_split,openroad_critical_path_delay,pca_5,ridge,18,66,5.0,1.2496358183707081,1.3326197762981185,-0.23999777139238243,,,,
kfold,openroad_critical_path_delay,pca_5,ridge,18,66,,2.6024471122930923,2.8917778485496366,-121.96908517262565,5.0,2.159936808564722,2.4458284058584607,166.1712330982256
random_split,openroad_critical_path_delay,pca_5,random_forest,18,66,5.0,1.4054791589682536,1.7675509990383553,-1.1814853626425514,,,,
kfold,openroad_critical_path_delay,pca_5,random_forest,18,66,,1.355974915049603,1.4342458042621202,-63.349219377066845,5.0,0.7540738451696793,0.7892903876683133,126.4981184532754
