evaluation,target,model,reduction,use_log_transform,rows,features,test_rows,mae,rmse,r2,relative_mae,feature_mode,include_benchmark_onehot,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups
kfold,openroad_total_power,pls_2,none,False,18,58,,0.10085095262549612,0.11864277317345555,-2828.7644786899,11.280799366654188,ratios,False,5.0,0.04325414710178342,0.05092336876175732,4947.946207706898,13.125448926359812,
groupkfold_by_benchmark,openroad_total_power,pls_2,none,False,18,58,,0.060299023409700975,0.06224287575971016,-2.431848352158059,7.656331761067349,ratios,False,,0.04800158209928229,0.05334412780889662,,7.066800189067918,17.0
random_split,openroad_total_power,pls_3,none,False,18,58,5.0,0.10650211838728096,0.12087724542595837,-14.962258503334741,3.2804200821561307,ratios,False,,,,,,
kfold,openroad_total_power,pls_3,none,False,18,58,,0.10035114559282235,0.12020111036975087,-4414.366488698966,12.12845309014346,ratios,False,5.0,0.06124497206200198,0.0744500256888068,8388.319855939693,17.001399824852083,
groupkfold_by_benchmark,openroad_total_power,pls_3,none,False,18,58,,0.052093563255843744,0.054008202926809516,-2.5206954957690026,7.1158677042262175,ratios,False,,0.04659026786709179,0.05243419590130299,,7.493448406000255,17.0
random_split,openroad_total_power,pls_5,none,False,18,58,5.0,0.08713696381005467,0.09764001411898206,-9.415038928467558,2.683945167561592,ratios,False,,,,,,
kfold,openroad_total_power,pls_5,none,False,18,58,,0.06285100595276853,0.07530092665066764,-494.94477099235456,5.219078482017292,ratios,False,5.0,0.036304871948365444,0.04515786167284856,800.8876316538768,5.503981329709061,
groupkfold_by_benchmark,openroad_total_power,pls_5,none,False,18,58,,0.03646761927429637,0.038355962616632676,-2.6042586560636853,3.290989100097884,ratios,False,,0.044536459663285295,0.05126312509573869,,2.86284925032789,17.0
random_split,openroad_total_power,gpr_matern,none,False,18,58,5.0,0.027402444938928343,0.029256901234434182,0.06489176482066406,0.8440351425777224,ratios,False,,,,,,
kfold,openroad_total_power,gpr_matern,none,False,18,58,,0.042964612283801426,0.05585232604261364,-202.2268226800901,3.337960827556178,ratios,False,5.0,0.031962964007358916,0.059298054864573665,279.50528882896884,2.5133342860757377,
groupkfold_by_benchmark,openroad_total_power,gpr_matern,none,False,18,58,,0.03309935640267672,0.03507987111526395,-2.3259124257316834,4.052033563014639,ratios,False,,0.03624075856046321,0.044322211151928866,,2.8061113362279553,17.0
random_split,openroad_total_power,gpr_rbf,none,False,18,58,5.0,0.028076657932377725,0.030055389362411148,0.013152721954176383,0.8648018829661097,ratios,False,,,,,,
kfold,openroad_total_power,gpr_rbf,none,False,18,58,,0.04313192626569865,0.05604970833244625,-205.04176467093606,3.3507785102575474,ratios,False,5.0,0.031872971336721456,0.059195902019638515,285.0859235518551,2.5179074606909024,
groupkfold_by_benchmark,openroad_total_power,gpr_rbf,none,False,18,58,,0.03319356994898378,0.035174084661571015,-2.3259124257316834,4.078826308444002,ratios,False,,0.036182514863747774,0.04427012192980965,,2.812819098412323,17.0
random_split,openroad_total_power,gpr_rq,none,False,18,58,5.0,0.06815811014377018,0.09332340220735058,-8.514508460863809,2.0993688826393817,ratios,False,,,,,,
kfold,openroad_total_power,gpr_rq,none,False,18,58,,0.05118208555308172,0.06857639700412199,-121.8866937545536,3.147945281726698,ratios,False,5.0,0.03808798841564244,0.06250128458707284,140.78640569383276,2.1360098207858518,
groupkfold_by_benchmark,openroad_total_power,gpr_rq,none,False,18,58,,0.030151018565072303,0.032131533277659524,-2.3259124257316834,3.1020771558291735,ratios,False,,0.040188569005002235,0.04773463370830915,,3.0623871618508534,17.0
random_split,openroad_total_power,ridge_a0.1,select_k_5,False,18,58,5.0,0.02599023801630654,0.039175375425428316,-0.6766081180085153,0.8005371162541284,ratios,False,,,,,,
kfold,openroad_total_power,ridge_a0.1,select_k_5,False,18,58,,0.03743154809107783,0.053052777697843403,-164.96846425363142,2.773542281555038,ratios,False,5.0,0.030770337388286544,0.05238958379294838,286.8038125451222,2.8904357088273454,
groupkfold_by_benchmark,openroad_total_power,ridge_a0.1,select_k_5,False,18,58,,0.02280624811728959,0.024799370164076583,-2.2908411738917627,1.8108361019153556,ratios,False,,0.040564153325624665,0.04836498367587908,,1.5656711699072121,17.0
random_split,openroad_total_power,ridge_a1,select_k_5,False,18,58,5.0,0.021686652021149576,0.03248289537484889,-0.1526957636360884,0.6679804109268025,ratios,False,,,,,,
kfold,openroad_total_power,ridge_a1,select_k_5,False,18,58,,0.03472619121507684,0.04927366406254348,-102.3218379128015,2.316113465866746,ratios,False,5.0,0.03096343854450849,0.053317798020830524,125.559873125074,1.6058454866650278,
groupkfold_by_benchmark,openroad_total_power,ridge_a1,select_k_5,False,18,58,,0.02367636603988532,0.025666769207404887,-2.2983476494136967,1.9042547783877235,ratios,False,,0.04037538907608807,0.0481700754702618,,1.5128872784713199,17.0
random_split,openroad_total_power,ridge_a10,select_k_5,False,18,58,5.0,0.020886572368659807,0.025892004129681852,0.26761984870582445,0.64333679445142,ratios,False,,,,,,
kfold,openroad_total_power,ridge_a10,select_k_5,False,18,58,,0.03587711910309477,0.04913386682974881,-178.9751934334941,2.4503480671625835,ratios,False,5.0,0.03182035088284184,0.05461424300628031,346.24897073001995,1.9899214537399021,
groupkfold_by_benchmark,openroad_total_power,ridge_a10,select_k_5,False,18,58,,0.031681965489484314,0.03366457401594983,-2.3200409613225625,3.1730406190094143,ratios,False,,0.03827696794157195,0.04606525303036695,,1.8184218948915771,17.0
random_split,openroad_total_power,elasticnet_a0.001_l10.2,select_k_5,False,18,58,5.0,0.02664993395852746,0.040123694111602104,-0.7587619130507399,0.8208567103593745,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.001_l10.2,select_k_5,False,18,58,,0.037095908405833725,0.052490343563934706,-141.94434649392366,2.648927795939258,ratios,False,5.0,0.030685256261263897,0.05259938143408368,225.74038199477314,2.503966328704816,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.001_l10.2,select_k_5,False,18,58,,0.02248126515675117,0.024474257908429775,-2.291197437836883,1.7458472104909817,ratios,False,,0.04069736180455125,0.04849102515837702,,1.5727725558588006,17.0
random_split,openroad_total_power,elasticnet_a0.001_l10.5,select_k_5,False,18,58,5.0,0.02662177464922002,0.04010054265191255,-0.7567328796192814,0.8199893626938956,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.001_l10.5,select_k_5,False,18,58,,0.03606743648404709,0.05095147167271943,-104.87671279421568,2.4002601360585962,ratios,False,5.0,0.031043387094012154,0.05344774747616064,143.4186775443776,1.9011380214834754,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.001_l10.5,select_k_5,False,18,58,,0.022842547559381875,0.02483482691420532,-2.2931644157439024,1.7892944042488403,ratios,False,,0.04049772998972101,0.04830815641442903,,1.45218140079052,17.0
random_split,openroad_total_power,elasticnet_a0.001_l10.8,select_k_5,False,18,58,5.0,0.026573796406882344,0.040048105956886265,-0.7521415682560353,0.8185115630777532,ratios,False,,,,,,
