evaluation,normalized_target,original_target,model,scaler,reduction,rows,features,test_rows,mae_original,rmse_original,r2_original,relative_mae_original,include_benchmark_onehot,folds,mae_original_std,rmse_original_std,r2_original_std,relative_mae_original_std,groups
random_split,power_per_area,openroad_total_power,elasticnet_a0.1_l10.8,robust,none,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.1_l10.8,robust,none,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.1_l10.8,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a1.0_l10.2,robust,none,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a1.0_l10.2,robust,none,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a1.0_l10.2,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a1.0_l10.5,robust,none,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a1.0_l10.5,robust,none,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a1.0_l10.5,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a1.0_l10.8,robust,none,18,64,5.0,0.03295981531091848,0.033832188550249616,-0.2504473643403826,1.0152102294991214,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a1.0_l10.8,robust,none,18,64,,0.0401634272358931,0.05314861174462745,-150.00785681399032,2.485888509097943,False,5.0,0.035022618577144386,0.06011275416624386,266.4671218649416,1.6761692398673473,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a1.0_l10.8,robust,none,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
random_split,power_per_area,openroad_total_power,pls_2,robust,none,18,64,5.0,0.13473797156220757,0.16207539968977763,-27.697193957123453,4.150125410035345,False,,,,,,
kfold,power_per_area,openroad_total_power,pls_2,robust,none,18,64,,0.07905597055220158,0.09235465669313762,-563.6336527172673,5.863028824138853,False,5.0,0.05059731311107884,0.060131695169853304,773.8666109649071,3.3177466242118774,
groupkfold_by_benchmark,power_per_area,openroad_total_power,pls_2,robust,none,18,64,,0.04995664926527329,0.0518964355063392,-2.4439726291614052,5.7740251265072615,False,,0.03889082320011349,0.0457942108481439,,3.5143976604098275,17.0
random_split,power_per_area,openroad_total_power,pls_3,robust,none,18,64,5.0,0.12036664519585602,0.14227710382194778,-21.114405195071463,3.707467664506129,False,,,,,,
kfold,power_per_area,openroad_total_power,pls_3,robust,none,18,64,,0.07235878647669208,0.08609311655350962,-610.7423828404443,5.398170791718253,False,5.0,0.04566854490401575,0.05376632115733371,900.9850851668525,3.457441611328551,
