evaluation,target,feature_set,include_benchmark_onehot,model,scaler,reduction,rows,features,test_rows,mae,rmse,r2,relative_mae,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups,error
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.2,robust,select_k_10,18.0,33.0,5.0,16993.666230269075,22153.558037874434,-1.0378575185211059,0.3272216175147013,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.2,robust,select_k_10,18.0,33.0,,13299.929703450727,16612.7960409887,-2.939900443702424,0.37960683985343735,5.0,8647.809901535511,11113.454579845305,4.017788035250514,0.3771638646257439,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.2,robust,select_k_10,18.0,33.0,,11095.687530828613,11095.687530828613,0.0,0.42915818127312244,,9310.882452928714,9310.882452928714,,0.7488134039335618,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.5,robust,select_k_10,18.0,33.0,5.0,17436.91305099549,22625.655897030374,-1.12563747031962,0.3357565586904907,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.5,robust,select_k_10,18.0,33.0,,15133.389447361493,18891.41961343113,-3.909081431795019,0.4471441265664199,5.0,12148.54992339809,15166.48116543225,4.981080933886837,0.5174166164147995,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.5,robust,select_k_10,18.0,33.0,,11824.85239232328,11824.85239232328,0.0,0.4783489013779158,,10984.188706027455,10984.188706027455,,0.8983099315846439,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.8,robust,select_k_10,18.0,33.0,5.0,18007.534848905874,23240.31705681574,-1.2426987380649246,0.3467441693197261,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.8,robust,select_k_10,18.0,33.0,,19918.955729861224,24524.996709008265,-7.283928296557425,0.6218321276464429,5.0,21327.72958879461,26033.94109250648,10.507354760211813,0.8758848578123061,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.01_l10.8,robust,select_k_10,18.0,33.0,,13541.194478309057,13541.194478309057,0.0,0.5996517088125914,,15447.746328147698,15447.746328147698,,1.2776005115249547,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.2,robust,select_k_10,18.0,33.0,5.0,14006.416794297667,19033.01049454647,-0.5041869466351254,0.2697006223913926,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.2,robust,select_k_10,18.0,33.0,,8574.468753911222,10478.811613922257,-1.4230032557032075,0.20595295431748953,5.0,3808.911207270106,5240.004176716235,3.65118978768318,0.06452801864019765,,
