experiment,evaluation,target,model,feature_set,reduction,scaler,benchmark_onehot,mae,rmse,r2,relative_mae,rows,features,normalized_target
feature_engineering,random_split,openroad_critical_path_delay,random_forest,all_features,all_features,standard,,1.0139951999206338,1.10996836376965,0.1397402606838393,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,random_forest,all_features,all_features,standard,,1.393426208303571,1.4629766745843182,-81.37046789438938,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gradient_boosting,all_features,all_features,standard,,0.4783616281216904,0.5563619556510917,0.7838659225266698,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gradient_boosting,all_features,all_features,standard,,1.0350772058159847,1.1592697644731558,-80.91620800425565,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gaussian_process,all_features,all_features,standard,,1.154869522628122,1.1966833868261255,7.616556696787846e-05,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gaussian_process,all_features,all_features,standard,,1.4170200368413386,1.445006539831628,-45.37091611652467,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,ridge,select_k_5,select_k_5,standard,,0.935088454053224,1.2179324628225967,-0.0357496836275152,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,ridge,select_k_5,select_k_5,standard,,3.833025345121016,4.783242108264207,-237.17447645441976,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,random_forest,select_k_5,select_k_5,standard,,0.8227250297619044,0.9498721503640762,0.3700026742893009,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,random_forest,select_k_5,select_k_5,standard,,1.33451119181166,1.4320823082532708,-94.10030970963162,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gradient_boosting,select_k_5,select_k_5,standard,,1.2030528541192202,1.658648817777967,-0.9209554086722112,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gradient_boosting,select_k_5,select_k_5,standard,,1.4506462980868835,1.7364572205617097,-83.99746682665395,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gaussian_process,select_k_5,select_k_5,standard,,6.928073822264468,10.562249299763756,-76.89708827444576,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gaussian_process,select_k_5,select_k_5,standard,,2.863106253510787,3.629433125267986,-59.33880342532524,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,ridge,select_k_10,select_k_10,standard,,0.8634457167631326,1.0466067964929382,0.2351513614729248,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,ridge,select_k_10,select_k_10,standard,,3.0674031111068425,3.753683465133398,-168.78684445951475,,18.0,66.0,
